Iteration;Period;Output;Value;Type
"8";"8";VOLINVENT;168946.75886;Total
"3";"8";OSUPREC;316.15517;Total
"3";"8";OVOLREC;38277.97280;Total
"3";"8";OSUPPL;100.94630;Total
"3";"8";VOLINVENT;168946.75886;Total
"8";"9";OSUPREC;273.56089;Total
"8";"9";OVOLREC;38144.22365;Total
"8";"9";OSUPPL;0.00000;Total
"8";"9";VOLINVENT;162124.99399;Total
"3";"9";OSUPREC;273.56089;Total
"3";"9";OVOLREC;38144.22365;Total
"3";"9";OSUPPL;0.00000;Total
"3";"9";VOLINVENT;162124.99399;Total
"8";"10";OSUPREC;269.15219;Total
"8";"10";OVOLREC;37717.16835;Total
"8";"10";OSUPPL;0.00000;Total
"8";"10";VOLINVENT;151955.37552;Total
"3";"10";OSUPREC;269.15219;Total
"3";"10";OVOLREC;37717.16835;Total
"3";"10";OSUPPL;0.00000;Total
"3";"10";VOLINVENT;151955.37552;Total
"8";"11";OSUPREC;357.25238;Total
"8";"11";OVOLREC;37219.48697;Total
"8";"11";OSUPPL;0.00000;Total
"8";"11";VOLINVENT;142825.39188;Total
"3";"11";OSUPREC;357.25238;Total
"3";"11";OVOLREC;37219.48697;Total
"3";"11";OSUPPL;0.00000;Total
"3";"11";VOLINVENT;142825.39188;Total
"8";"12";OSUPREC;351.04016;Total
"8";"12";OVOLREC;37052.27433;Total
"8";"12";OSUPPL;0.00000;Total
"8";"12";VOLINVENT;134349.68547;Total
"3";"12";OSUPREC;351.04016;Total
"3";"12";OVOLREC;37052.27433;Total
"3";"12";OSUPPL;0.00000;Total
"3";"12";VOLINVENT;134349.68547;Total
"3";"13";OSUPREC;203.23292;Total
"3";"13";OVOLREC;36857.77219;Total
"3";"13";OSUPPL;201.64000;Total
"3";"13";VOLINVENT;130181.89868;Total
"8";"13";OSUPREC;203.23292;Total
"8";"13";OVOLREC;36857.77219;Total
"8";"13";OSUPPL;201.64000;Total
"8";"13";VOLINVENT;130181.89868;Total
"3";"14";OSUPREC;327.03500;Total
"3";"14";OVOLREC;36749.16055;Total
"3";"14";OSUPPL;0.00000;Total
"3";"14";VOLINVENT;126657.46463;Total
"8";"14";OSUPREC;327.03500;Total
"8";"14";OVOLREC;36749.16055;Total
"8";"14";OSUPPL;0.00000;Total
"8";"14";VOLINVENT;126657.46463;Total
"3";"15";OSUPREC;346.27609;Total
"3";"15";OVOLREC;36644.00897;Total
"3";"15";OSUPPL;0.00000;Total
"3";"15";VOLINVENT;124009.42120;Total
"8";"15";OSUPREC;346.27609;Total
"8";"15";OVOLREC;36644.00897;Total
"8";"15";OSUPPL;0.00000;Total
"8";"15";VOLINVENT;124009.42120;Total
"3";"16";OSUPREC;359.65831;Total
"3";"16";OVOLREC;36612.50927;Total
"3";"16";OSUPPL;0.00000;Total
"3";"16";VOLINVENT;121416.93674;Total
"8";"16";OSUPREC;359.65831;Total
"8";"16";OVOLREC;36612.50927;Total
