Iteration;Period;Output;Value;Type
"4";"17";OSUPPL;0.00000;Total
"4";"17";VOLINVENT;183011.63062;Total
"9";"17";OSUPREC;0.00000;Total
"9";"17";OVOLREC;0.00000;Total
"9";"17";OSUPPL;0.00000;Total
"9";"17";VOLINVENT;183011.63062;Total
"4";"18";OSUPREC;0.00000;Total
"4";"18";OVOLREC;0.00000;Total
"4";"18";OSUPPL;0.00000;Total
"4";"18";VOLINVENT;180656.30581;Total
"9";"18";OSUPREC;0.00000;Total
"9";"18";OVOLREC;0.00000;Total
"9";"18";OSUPPL;0.00000;Total
"9";"18";VOLINVENT;180656.30581;Total
"4";"19";OSUPREC;0.00000;Total
"4";"19";OVOLREC;0.00000;Total
"4";"19";OSUPPL;0.00000;Total
"4";"19";VOLINVENT;177027.59994;Total
"9";"19";OSUPREC;0.00000;Total
"9";"19";OVOLREC;0.00000;Total
"9";"19";OSUPPL;0.00000;Total
"9";"19";VOLINVENT;177027.59994;Total
"4";"20";OSUPREC;0.00000;Total
"4";"20";OVOLREC;0.00000;Total
"4";"20";OSUPPL;0.00000;Total
"4";"20";VOLINVENT;173985.55763;Total
"5";"1";OSUPREC;0.00000;Total
"5";"1";OVOLREC;0.00000;Total
"5";"1";OSUPPL;0.00000;Total
"5";"1";VOLINVENT;307097.72000;Total
"9";"20";OSUPREC;0.00000;Total
"9";"20";OVOLREC;0.00000;Total
"9";"20";OSUPPL;0.00000;Total
"9";"20";VOLINVENT;173985.55763;Total
"10";"1";OSUPREC;0.00000;Total
"10";"1";OVOLREC;0.00000;Total
"10";"1";OSUPPL;0.00000;Total
