CONSTRAINT;OUTPUT;PERIOD;PERCENTAGE
OVOLGSEPMREC <=1318902.000000   1;OVOLTOTREC;12;1.5122571797698425
OVOLGSEPMREC <=1318902.000000   1;OVOLTOTREC;13;1.5122571797698428
OVOLGSEPMREC <=1318902.000000   1;OVOLTOTREC;14;2.479004102637871
OVOLGSEPMREC <=1318902.000000   1;OVOLTOTREC;15;3.0565920757862064
OVOLGSEPMREC <=1318902.000000   1;OVOLTOTREC;16;1.4135773667513107
OVOLGSEPMREC <=1318902.000000   1;OVOLTOTREC;17;-0.27162063271696246
OVOLGSEPMREC <=1318902.000000   1;OVOLTOTREC;18;-0.9859071780949256
OVOLGSEPMREC <=1318902.000000   1;OVOLTOTREC;19;0.2234544934484043
OVOLGSEPMREC <=1318902.000000   1;OVOLTOTREC;20;0.22345449344827223
OVOLGSEPMREC >=1292785.000000   1;OVOLTOTREC;1;6.550647414589588e-14
OVOLGSEPMREC >=1292785.000000   1;OVOLTOTREC;2;-1.4527217335882734
OVOLGSEPMREC >=1292785.000000   1;OVOLTOTREC;3;-1.4527217335881926
OVOLGSEPMREC >=1292785.000000   1;OVOLTOTREC;4;-1.452721733588241
OVOLGSEPMREC >=1292785.000000   1;OVOLTOTREC;5;-1.4527217335880487
OVOLGSEPMREC >=1292785.000000   1;OVOLTOTREC;6;-1.4527217335880505
OVOLGSEPMREC >=1292785.000000   1;OVOLTOTREC;7;1.355762198562542
OVOLGSEPMREC >=1292785.000000   1;OVOLTOTREC;8;2.6526383562641827
OVOLGSEPMREC >=1292785.000000   1;OVOLTOTREC;9;1.2886788739543744
OVOLGSEPMREC >=1292785.000000   1;OVOLTOTREC;10;0.9030919957550348
OVOLGSEPMREC >=1292785.000000   1;OVOLTOTREC;11;0.43133530877909765
OVOLGSEPMREC >=1292785.000000   1;OVOLTOTREC;12;1.5158927571683807
OVOLGSEPMREC >=1292785.000000   1;OVOLTOTREC;13;1.5158927571682745
OVOLGSEPMREC >=1292785.000000   1;OVOLTOTREC;14;2.485050405404418
OVOLGSEPMREC >=1292785.000000   1;OVOLTOTREC;15;3.0618438674027035
OVOLGSEPMREC >=1292785.000000   1;OVOLTOTREC;16;1.4111771188588584
OVOLGSEPMREC >=1292785.000000   1;OVOLTOTREC;17;-0.27650653331715813
OVOLGSEPMREC >=1292785.000000   1;OVOLTOTREC;18;-0.9911386648733431
OVOLGSEPMREC >=1292785.000000   1;OVOLTOTREC;19;0.22308707409942002
OVOLGSEPMREC >=1292785.000000   1;OVOLTOTREC;20;0.22308707409928796
OVOLGFIREC <=102824.000000   1;OVOLTOTREC;1;8.188309268236984e-14
OVOLGFIREC <=102824.000000   1;OVOLTOTREC;2;-1.4527217335882572
OVOLGFIREC <=102824.000000   1;OVOLTOTREC;3;-1.4527217335881435
OVOLGFIREC <=102824.000000   1;OVOLTOTREC;4;-1.4527217335881435
OVOLGFIREC <=102824.000000   1;OVOLTOTREC;5;-1.4527217335879998
OVOLGFIREC <=102824.000000   1;OVOLTOTREC;6;-1.4527217335879852
OVOLGFIREC <=102824.000000   1;OVOLTOTREC;7;1.3557621985627433
OVOLGFIREC <=102824.000000   1;OVOLTOTREC;8;2.652638356263927
